number,topics
0,Leave this one blank
1,Introduction
2,Prolog 1
3,Prolog 2
4,Prolog 3
5,Prolog 4
6,Debugging prolog
7,Work Day
8,Work Day
9,Rust 1
10,Rust 2
11,Rust 3
12,Rust 4
13,Work Day
14,Work Day
15,Work Day
16,Work Day
17,Sick day
18,Haskell 1
19,Haskell 2
20,Haskell 3
21,Haskell 4
22,Work Day
23,Work Day
24,Work Day
25,The Final Project
26,Instructors Choice 1: Smalltalk 1
27,Instructors Choice 2: The Smalltalk Image
28,CLASS CANCELLED
29,Instructors Choice 4: Lua and C Integration
30,Instructors Choice 5: Lua and Prototype based OO
31,Instructors Choice 3: Monads
32,Instructors Choice 6: Forth
33,Final Project Talks: Go
34,Final Project Talks: F#
35,Final Project Talks: Scala
36,Final Project Talks: OCaml
37,Final Project Talks: Julia
38,Final Project Talks: ???
39,Final Reflections
40,CLASS CANCELLED
